trial_index,arm_name,trial_status,generation_method,result,lr,epochs,width_or_height
0,0_0,COMPLETED,Sobol,1.726236000000000103682396002114,0.282530486583709716796875000000,2,16
1,1_0,COMPLETED,Sobol,1.628241999999999967130293043738,0.091874589212238788604736328125,9,44
2,2_0,COMPLETED,Sobol,1.626806999999999892025925873895,0.191924827173352241516113281250,4,25
3,3_0,COMPLETED,Sobol,1.691802999999999945757167552074,0.433456499129533767700195312500,7,33
4,4_0,COMPLETED,Sobol,1.679902000000000006352252057695,0.438980826176702976226806640625,4,46
5,5_0,COMPLETED,Sobol,1.651121000000000060836669035780,0.186400487087666988372802734375,7,12
6,6_0,COMPLETED,Sobol,1.103793000000000024130031306413,0.035447753965854644775390625000,2,36
7,7_0,COMPLETED,Sobol,1.695243000000000055393911679857,0.338957292959094047546386718750,10,23
8,8_0,COMPLETED,Sobol,1.695715000000000083346662904660,0.355863059405237436294555664062,5,40
9,9_0,COMPLETED,Sobol,0.598623000000000016207479802688,0.018786099273711442947387695312,6,22
10,10_0,COMPLETED,BoTorch,1.590246000000000048402171159978,0.000000000000000000000000000000,4,17
11,11_0,COMPLETED,BoTorch,1.805498999999999965027086545888,0.000000000000000000000000000000,6,26
12,12_0,COMPLETED,BoTorch,1.596807000000000087425178207923,0.000000000000000000000000000000,1,50
13,13_0,COMPLETED,BoTorch,1.805746999999999991004528965277,0.000000000000000000000000000000,10,10
14,14_0,COMPLETED,BoTorch,1.719511999999999929400473774876,0.000000000000000000000000000000,1,28
15,15_0,COMPLETED,BoTorch,1.623933999999999988617105373123,0.000000000000000000000000000000,5,50
16,16_0,COMPLETED,BoTorch,2.108032999999999823614871274913,0.000000000000000000000000000000,1,10
17,17_0,COMPLETED,BoTorch,1.772958000000000033935521059902,0.000000000000000000000000000000,6,21
18,18_0,COMPLETED,BoTorch,1.821797000000000110730979940854,0.000000000000000000000000000000,10,31
19,19_0,COMPLETED,BoTorch,59.839367000000002860815584426746,0.500000000000000000000000000000,1,41
